;displaystopid;fullname;fullnamelocalized;lastupdated;latitude;longitude;operators;shortname;shortnamelocalized;stopid
3273;3983;Maynooth Road;;29/05/2017 09:46;53.378015;-6.552681111;[{'name': 'bac', 'routes': ['66X', '66']}];Maynooth Road;Bóthar Mhaigh Nuad;3983
3274;3985;Maynooth Road;;29/05/2017 09:46;53.37411194;-6.526526944;[{'name': 'bac', 'routes': ['66', '66X']}];Maynooth Road;Bóthar Mhaigh Nuad;3985
3275;3986;Maynooth Road;;29/05/2017 09:46;53.37371889;-6.524766944;[{'name': 'bac', 'routes': ['66X', '66']}];Maynooth Road;Bóthar Mhaigh Nuad;3986
3276;3987;Station Road;;29/05/2017 09:46;53.37096111;-6.512361111;[{'name': 'bac', 'routes': ['66', '66X']}];Station Road;Bóthar an Stáisiúin;3987
3277;3989;Station Road;;29/05/2017 09:46;53.36949694;-6.505855;[{'name': 'bac', 'routes': ['66X', '66']}];Station Road;Bóthar an Stáisiúin;3989
3278;3990;Station Road;;29/05/2017 09:46;53.36779694;-6.499821111;[{'name': 'bac', 'routes': ['66', '66X']}];Station Road;Bóthar an Stáisiúin;3990
3279;3991;Station Road;;29/05/2017 09:46;53.36574694;-6.492591944;[{'name': 'bac', 'routes': ['66X', '66', '66B']}];Station Road;Bóthar an Stáisiúin;3991
3280;3993;Captain's Hill;;29/05/2017 09:46;53.37144194;-6.486393056;[{'name': 'bac', 'routes': ['66A', '66X']}];Captain's Hill;Cnoc an Chaptaein;3993
3281;3994;Captain's Hill;;29/05/2017 09:46;53.37243194;-6.49294;[{'name': 'bac', 'routes': ['66X', '66A']}];Captain's Hill;Cnoc an Chaptaein;3994
3282;3995;Captain's Hill;;29/05/2017 09:46;53.37205111;-6.488995;[{'name': 'bac', 'routes': ['66A', '66X']}];Captain's Hill;Cnoc an Chaptaein;3995
3283;3996;Captain's Hill;;29/05/2017 09:46;53.37116111;-6.486351111;[{'name': 'bac', 'routes': ['66X', '66A']}];Captain's Hill;Cnoc an Chaptaein;3996
3284;3997;Captain's Hill;;29/05/2017 09:46;53.366945;-6.48762;[{'name': 'bac', 'routes': ['66A']}];Captain's Hill;Cnoc an Chaptaein;3997
3285;3998;Leixlip;;29/05/2017 09:46;53.36448806;-6.487336944;[{'name': 'bac', 'routes': ['66A', '66B', '66', '66X']}];Leixlip;Léim an Bhradáin;3998
3286;3999;Leixlip Rd;;29/05/2017 09:46;53.36183111;-6.483476944;[{'name': 'bac', 'routes': ['66X', '66', '66B', '66A']}];Leixlip Rd;Br Léim an Bhradáin;3999
3287;4000;Leixlip Rd;;29/05/2017 09:46;53.360535;-6.478311111;[{'name': 'bac', 'routes': ['66A', '66', '66B', '66X']}];Leixlip Rd;Br Léim an Bhradáin;4000
3288;4001;Leixlip Rd;;29/05/2017 09:46;53.35918194;-6.473211111;[{'name': 'bac', 'routes': ['66X', '67X', '67', '66B', '66', '66A', '25X']}];Leixlip Rd;Br Léim an Bhradáin;4001
3289;4002;Celbridge Rd;;29/05/2017 09:46;53.36404111;-6.49679;[{'name': 'bac', 'routes': ['66B', '66X']}];Celbridge Rd;Br Chill Droichid;4002
3290;4003;Celbridge Rd;;29/05/2017 09:46;53.35444111;-6.508255;[{'name': 'bac', 'routes': ['66X', '66B']}];Celbridge Rd;Br Chill Droichid;4003
3291;4004;Blessington Rd;;29/05/2017 09:46;53.25003111;-6.454223056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4004
3292;4005;Blessington Rd;;29/05/2017 09:46;53.24770306;-6.455973056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4005
3293;4006;Blessington Rd;;29/05/2017 09:46;53.24157111;-6.455628056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4006
3294;4007;Blessington Rd;;29/05/2017 09:46;53.23800806;-6.455235;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4007
3295;4008;Blessington Rd;;29/05/2017 09:46;53.23679389;-6.454301111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4008
3296;4009;Blessington Rd;;29/05/2017 09:46;53.23161611;-6.457568889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4009
3297;4010;Blessington Rd;;29/05/2017 09:46;53.23283806;-6.456308889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4010
3298;4011;Blessington Rd;;29/05/2017 09:46;53.22352306;-6.467293889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4011
3299;4012;Blessington Rd;;29/05/2017 09:46;53.21723306;-6.473195;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4012
3300;4013;Blessington Rd;;29/05/2017 09:46;53.21472889;-6.477355;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4013
3301;4014;Blessington Rd;;29/05/2017 09:46;53.21163611;-6.484496111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4014
3302;4015;Blessington Rd;;29/05/2017 09:46;53.20631306;-6.4938;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4015
3303;4017;Blessington Rd;;29/05/2017 09:46;53.20319306;-6.498586111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4017
3304;4018;Blessington Rd;;29/05/2017 09:46;53.19724306;-6.506651944;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4018
3305;4019;Blessington Rd;;29/05/2017 09:46;53.19397806;-6.510068056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4019
3306;4020;Blessington Rd;;29/05/2017 09:46;53.19079389;-6.51276;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4020
3307;4021;Blessington Rd;;29/05/2017 09:46;53.18617806;-6.518843889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4021
3308;4022;Blessington Rd;;29/05/2017 09:46;53.18330111;-6.522088889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4022
3309;4023;Blessington Rd;;29/05/2017 09:46;53.178605;-6.525188056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4023
3310;4024;Blessington Rd;;29/05/2017 09:46;53.17587611;-6.526951111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4024
3311;4027;Blessington;;29/05/2017 09:46;53.17162694;-6.531226111;[{'name': 'bac', 'routes': ['65']}];Blessington;Baile Coimín;4027
3312;4051;Blessington Rd;;29/05/2017 09:46;53.17113;-6.53219;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4051
3313;4052;Blessington Rd;;29/05/2017 09:46;53.17385306;-6.52892;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4052
3314;4054;Blessington Rd;;29/05/2017 09:46;53.17609694;-6.52696;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4054
3315;4055;Blessington Rd;;29/05/2017 09:46;53.17933806;-6.525031111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4055
3316;4056;Blessington Rd;;29/05/2017 09:46;53.20856694;-6.489561111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4056
3317;4057;Blessington Rd;;29/05/2017 09:46;53.18358;-6.522023889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4057
3318;4058;Blessington Rd;;29/05/2017 09:46;53.19096194;-6.512828889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4058
3319;4059;Blessington Rd;;29/05/2017 09:46;53.19463806;-6.509876944;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4059
3320;4060;Blessington Rd;;29/05/2017 09:46;53.19742194;-6.506733056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4060
3321;4061;Blessington Rd;;29/05/2017 09:46;53.20195611;-6.500975;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4061
3322;4062;Blessington Rd;;29/05/2017 09:46;53.203415;-6.498533056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4062
3323;4063;Blessington Rd;;29/05/2017 09:46;53.20586611;-6.495008889;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4063
3324;4064;Blessington Rd;;29/05/2017 09:46;53.20670806;-6.493428056;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4064
3325;4065;Blessington Rd;;29/05/2017 09:46;53.215155;-6.476711944;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4065
3326;4066;Blessington Rd;;29/05/2017 09:46;53.21739611;-6.47341;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4066
3327;4067;Blessington Rd;;29/05/2017 09:46;53.21987389;-6.470601111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4067
3328;4068;Blessington Rd;;29/05/2017 09:46;53.22378;-6.467311111;[{'name': 'bac', 'routes': ['65']}];Blessington Rd;Br Bhaile Coimín;4068
